day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-14,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-15,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-16,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-17,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-18,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-19,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-20,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-21,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-22,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-23,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-24,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-25,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-26,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-27,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-28,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-29,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-30,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2025-12-31,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-1,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-2,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-3,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-4,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-5,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-6,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-7,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-8,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-9,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-10,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-11,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:CZ,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:EE,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:ES,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:LT,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:LV,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:PL,2,506447.6386036961,0.95,493786.4476386037
2026-1-12,Europe:PT,2,506447.6386036961,0.95,493786.4476386037
