day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-15,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-16,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-17,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-18,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-19,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-20,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-21,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-22,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-23,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-24,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-25,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-26,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-27,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-28,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-29,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-30,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2025-12-31,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-1,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-2,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-3,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-4,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-5,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-6,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-7,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-8,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-9,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-10,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-11,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
2026-1-12,10610000,348583.1622176591,type1.1,"Europe,BE,Brussels Capital"
